name,wer,wer_n,cer,cer_n
p265,7.388382055631441,6.92187111371482,9.441062489999416,8.415797852751396
p266,18.31708387467121,17.464191429827565,18.916352684130686,16.481655241778952
p267,9.821912121703868,9.457805902223125,11.252045571373115,10.065464802954883
p268,4.7779946157895345,4.503187321277807,6.756357995763636,6.210592486127212
p269,7.386883915756228,7.013368243930444,9.246873768668834,8.390906839436543
p270,6.903441492308756,6.498759082731087,8.136879917102446,7.340431942376837
p271,4.17035593087645,3.8687091656738817,7.227024702548823,6.58909665970596
p272,7.319212975667065,6.88433898239891,9.133047560348876,8.23037436188793
p273,9.62975308467018,9.173882170248149,10.562039107003521,9.559970745263138
p274,6.468738094864205,6.093724125271847,7.755220874691492,6.945131072289947
p275,9.957248915622559,9.627766979991838,11.001281501399687,9.96551032212783
p276,7.749895765104237,7.381706641974405,9.055570964054692,8.231922670808595
p277,18.610507523527854,16.590420703251425,18.89631442911342,15.906192812238846
p278,7.608935385169796,7.291864553686409,9.041336978356405,8.17315773472778
p279,13.787475736306146,13.171351715211363,14.616453655166012,12.943280098562676
p280,7.446822290532175,7.154685012543472,8.824071747070183,7.960469063365104
p281,10.118184939028142,9.714458914387082,11.209956808592077,10.009842141266974
p282,11.219090335961768,10.744940915547895,12.924758907748302,11.612784545927495
p283,19.77454806799075,18.594503979107948,19.274971815078388,16.514847293823998
p284,8.248496119312003,7.928811210502674,10.12756379471932,9.06839033671199
p285,14.586819263086268,13.90937849034965,15.934275976277512,14.044921444667317
p286,5.646132415304922,5.435182389044403,7.371635950159405,6.681065255898002
p287,7.081597468311425,6.8620332275207705,8.584624754152609,7.830291572133352
p288,7.101590639531359,6.993214444670748,8.375980695790702,7.767636486206184
p292,5.527183364294389,5.333206939046353,7.330485779781578,6.682701064643515
p293,19.435681384744395,17.873604186398914,19.473050234184292,16.59498243899306
p294,5.147003605383598,4.905514073113924,7.318250855199358,6.6431786153002435
p295,15.398389653671785,14.574638067173494,16.346815230979146,14.45895622034747
p297,8.690060938262375,8.30404114834371,9.324539369965947,8.486743656555687
p298,8.48286765174163,8.105950330379866,10.151641679924888,8.99616009936616
p299,4.811687327184403,4.686749302246379,7.277411587159983,6.5933875206558294
p300,6.455588715407542,6.196127001800101,8.34172171693708,7.43718174885607
p301,4.294168982509358,4.136484106597775,6.94415287745288,6.307556517814175
p302,10.710494426202262,10.226935804758265,11.64100283742051,10.496194368448819
p303,7.530273255452679,7.02383919077998,9.589992370449947,8.579063388219565
p304,3.88117654261738,3.853666400106029,5.581053656714078,5.297271080198635
p305,10.136610552081988,9.423705413489262,11.000134972130803,9.845601327075485
p306,9.739023668085453,9.272211339717055,10.868484592701316,9.593997605881931
p307,4.222415898637704,4.047761188268707,6.80847164029374,6.247875247630568
p308,8.90419418414939,8.579317357982331,10.259528159385278,9.353209837446137
p310,8.194388077740072,7.872866319114917,10.07424936843216,9.083303875454714
p311,6.792487837187349,6.405074926133777,8.239879377975987,7.478114237509074
p312,7.551729203532216,7.3055270623961635,9.793880213709004,8.863360579192692
p313,11.703049731865839,11.170520200943127,14.13601682942307,12.346472763703087
p314,8.434311591547608,8.013188847729829,9.821728470270722,8.874072055703163
p316,4.8266223465605,4.544483904652087,6.947258042803922,6.386061945543093
p317,7.393558859124367,7.115516028356639,8.693815621679237,7.91209228919761
p318,3.524318188337014,3.41421374080428,6.133818759890362,5.640756154458591
p323,6.760592154862403,6.567222570239864,8.718044137744682,7.816591556970401
p326,14.48965919225353,13.97893273482941,15.721520988482949,13.684553888364011
p329,5.33256655949278,5.14001039104725,7.58081441979188,6.918681072061304
p330,4.07771610552499,3.8884714127341975,6.790651936738618,6.148972696595168
p333,5.777659887861163,5.537859440222236,7.8534069697752695,7.192537630649784
p334,9.215289969000745,8.697483268987119,10.59252289801484,9.413222418535165
p335,12.578509029710737,11.895450745297621,12.938517748412659,11.532909325508113
p336,8.751558500908564,8.427447959200217,10.258094125420401,9.3146525571367
p339,5.1320358543202875,4.954824487258718,8.052896071720934,7.1861730735926255
p340,10.805654415676809,10.131291600900903,11.99122036734826,10.68600801537724
p341,3.4606289915433273,3.380442067547975,6.295171198226336,5.835656585432901
p343,4.16336965696027,3.844802914424454,7.4249363867082785,6.680673368269141
p345,7.84736263706832,7.467277088332057,9.8606575581558,8.931791741645478
p347,13.634303756001938,12.949872458249162,14.36978939157044,12.623378432944413
p351,12.948583490177406,12.2853157416016,13.868793163527656,12.23288509737989
p360,9.64900933345169,9.307210022697928,10.774773364293424,9.737410962512406
p361,6.061634340648156,5.989148374772376,9.351997638254593,8.430855477598014
p362,4.939144557244686,4.658670027732929,7.405736680333165,6.763444580633092
p363,4.225992503218983,4.118638971044448,7.223866714779119,6.6083150723633315
p364,6.567393991460314,6.30250424020931,9.182954993584465,8.258468114215871
p374,6.673427153504115,6.306680706196594,9.0932508084937,8.137996707744252
p376,4.883972669519795,4.765611383705681,6.991919931073724,6.41536205552532
total_files_total_wer_cer,8.762791854835235,8.346045486928235,10.355938777980269,9.261231988785822
total_by_speakers,8.68855051174606,8.277100917545384,10.299037510303961,9.214015030446951
