name,wer,wer_n,cer,cer_n
p300,6.645502495621895,6.272987924274201,9.790116853583475,9.006661028164576
p360,8.670572386217282,8.426604971379781,12.210947498386204,11.249949153002001
p251,11.649783654767829,11.225189687490861,13.917903890170235,12.720016060909819
p279,11.515704599095267,10.957580034578084,13.61436238843725,12.46615623651262
p305,8.299738792160253,7.891457092005854,10.736084879485501,9.881293154343226
p269,7.537357046222794,7.269970603929386,10.965272449935103,10.155021091591854
p258,9.1977685723797,9.019590017667213,12.306533879656786,11.49003130836619
p268,6.338759319083481,6.0551488193075675,9.045588296006322,8.503805217762404
p273,8.966016971847841,8.559717100980082,11.80817773779865,10.822059686659102
p336,7.656713022091795,7.469084291654542,10.724957841935618,10.057274565699524
p376,6.814907704151742,6.500895472314286,10.024273118825551,9.360119982633838
p316,6.811834613839274,6.57109249004927,10.13172139267552,9.519620876829938
p250,9.177948386390874,8.752811193182605,11.88840348420226,11.00011824306393
p245,5.981755354951555,5.890940363968645,9.564117566174,9.010334186391571
p270,7.837244547721413,7.493995823124123,11.060549397105675,10.12764110041525
p229,8.038779551100141,7.766427571948863,11.117162429911756,10.31879364672965
p237,7.755172850038465,7.453892593571824,11.224652695950446,10.417766442817452
p238,7.229807343979953,6.871297309456223,10.251979290961755,9.49566208622537
p263,10.62341523114334,10.14502895210966,12.941954314719574,11.996765968437693
p248,10.38323131176657,9.95514552170487,13.392784405228275,12.213424153055835
p307,6.504219241780056,6.169307898188925,9.915423591528008,9.153456405961835
p297,9.895959156887868,9.510588133027637,11.748619659225836,10.922090139264819
p286,7.282695041817228,6.958703229975629,10.679753617609183,9.750373725298944
p302,10.004232558695834,9.61716061402979,12.142609604734735,11.193900030851136
p299,6.699894917306907,6.420501565009071,9.847239135630089,9.193239466796234
p260,8.921084352205423,8.591074101105578,12.008159420554234,10.988242210455384
p261,6.717216019666345,6.487919899187918,10.518883114237646,9.72250439015964
p374,8.081441366908168,7.728298289087828,11.256606375075764,10.427204285061
p232,8.313715864759907,7.893514645621941,11.394492073376073,10.518190546334006
p341,6.688565215810176,6.431214150969727,9.771622028233365,9.161087982461884
p275,9.932635083173153,9.523565137029646,12.816774651793342,11.810604545679976
p329,6.772207204073838,6.6060864992242365,10.325266477580827,9.611556411095322
p298,9.374325734146849,8.965617264837531,11.462955456490638,10.502153601545182
p308,9.277163171806695,8.864170664749233,11.261493260821911,10.495840737241956
p361,7.0263927137777085,6.920321325391762,11.145305891002534,10.30519900259258
p364,7.291799212345274,6.919814043514195,11.739558518208034,10.73237786845313
p228,7.317215160056353,7.128039621441643,10.99543887668312,10.139676341817616
p323,6.700480045725197,6.505909148064179,9.705765302000126,9.034226282202443
p227,5.5970826282990505,5.418968126830058,9.417560238526736,8.88924672172672
p264,10.57816812215597,10.04581331382686,12.959429820986871,11.87637838441428
p303,9.428264725548706,8.957173872592866,11.821144129254861,10.772146130090697
p253,10.67045889782732,10.413491163468278,14.020519586778132,12.745709187775137
p256,7.75895840876139,7.463545684431724,11.468135109687962,10.644996956379298
p265,8.004587046702985,7.817137028797644,11.425615674867633,10.621487157005852
p285,12.610443912347588,12.164157651773749,15.672999611767466,14.18726383342319
p288,8.158087706259428,7.900780146959022,11.388614293790814,10.606894264028094
p234,4.0565108052164796,3.9799160719758055,8.129632339411215,7.683089287147328
p362,6.427359665485468,6.2544433885897295,10.296687443956811,9.527514950954934
p240,5.471429709405088,5.300495698250499,9.594338806550041,9.055625718070084
p280,7.2442558217873465,6.990147749001482,9.530804971897869,8.854105781472343
p293,11.174476155548493,10.546205453435645,13.27294666591914,12.108236348049825
p244,8.583286657811202,8.400880666065685,12.23317463424484,11.150951120682034
p310,9.288350831837203,8.827649385071304,11.962438952791379,11.024694969025996
p284,8.92704463225315,8.64484203669415,12.135552430105355,11.223605616783026
p272,9.504509078812482,9.145700764217366,12.55242182884421,11.626584631049374
p277,13.52491216112831,12.724234503673012,15.893501837825468,14.444124077279803
p247,9.131354394161955,8.72636313315124,11.855946365526217,10.80362664800105
p241,7.47874605468515,7.222891954888373,11.423218915320058,10.570392506014494
p225,8.417565034810014,7.977166426202582,10.705945282285814,9.852693394053258
p257,11.66136634940583,11.20614163165989,14.317079119147065,13.093003938932691
p317,7.520481325676417,7.211655219383703,9.966126656226288,9.317728971644097
p312,9.658879345801628,9.323083569024272,12.450808226964007,11.546332645685103
p230,6.400400457629209,6.203825946711831,10.337632858518596,9.63010125426863
p301,6.584592403387458,6.288924149085499,9.728233534091572,9.014772340292922
p347,12.793851706500194,11.880446664222434,15.067110635597826,13.33966832035258
p306,9.589990719012118,9.080164718945168,12.279028497681887,11.169615067697888
p236,9.818555103516964,9.476328450314702,12.829788330745345,11.750467016791212
p339,5.9136447721411365,5.617941242954964,9.8560707983244,9.080428385276138
p262,8.795591045054747,8.469937111165443,11.575245803705418,10.703251824827884
p282,10.563023856194581,10.295706194142403,13.149445656723412,12.233192329805922
p295,12.629308956354834,12.078889162614287,14.326519841516843,13.01261603010036
p330,7.106496337086108,6.752108145818484,9.928303045702815,9.232644413352565
p267,6.929001561521553,6.768997657336522,10.705145887605065,9.967087171271853
p252,9.075060647355588,8.674886059385903,11.22238875917472,10.40946809508893
p287,5.730100191727258,5.513369436227127,9.648072509732604,8.983296477045212
total_files_total_wer_cer,8.359382991892403,8.02225947774951,11.378842949966703,10.512948242811678
total_by_speakers,8.33203739606555,7.997445093157876,11.36533858002877,10.500811055792438
